number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_factor,params_kernel_size,params_l1_lambda,params_lr,params_num_channels,params_patience,params_seq_len,params_wd,state
35,inf,2026-02-12 10:49:23.084535,2026-02-12 10:49:23.369212,0 days 00:00:00.284677,64,0.3684234199035874,0.49903451889786155,4,1.4993242502998148e-05,0.0027554818393384075,"[256, 256]",10,24,4.583154440650499e-05,COMPLETE
36,inf,2026-02-12 10:49:23.089861,2026-02-12 10:49:23.124923,0 days 00:00:00.035062,16,0.14620690124821997,0.45734718174014005,4,6.485777118806327e-05,0.02865202153450915,"[128, 128]",10,18,1.872040143965075e-05,COMPLETE
37,inf,2026-02-12 10:49:23.358289,2026-02-12 10:49:23.591613,0 days 00:00:00.233324,64,0.30189969265992117,0.479587786927826,5,0.0007828322144877144,0.012455274034795483,"[64, 64]",5,12,6.32059952817082e-06,COMPLETE
38,inf,2026-02-12 10:49:23.805375,2026-02-12 10:49:23.852635,0 days 00:00:00.047260,16,0.10397090553794751,0.44601984538731565,4,3.800167549724071e-05,0.007359805489737188,[64],5,12,1.0748839040306562e-06,COMPLETE
39,inf,2026-02-12 10:49:23.830222,2026-02-12 10:49:23.856636,0 days 00:00:00.026414,32,0.35649808975185654,0.48677483475385536,4,2.6852244132409756e-05,0.0012646412271948022,"[128, 128, 128]",10,12,9.960735796557683e-06,COMPLETE
40,inf,2026-02-12 10:49:24.308925,2026-02-12 10:49:24.337373,0 days 00:00:00.028448,32,0.3543151659051465,0.42068638008127907,4,2.835877427121247e-05,0.0014435799483989676,[128],5,12,4.5408310047929574e-05,COMPLETE
41,inf,2026-02-12 10:49:24.542191,2026-02-12 10:49:24.590199,0 days 00:00:00.048008,16,0.14755996090721474,0.3857281477075696,3,0.00038881818655695237,0.02832387003240289,"[64, 64, 64]",5,18,2.8206075667769853e-06,COMPLETE
42,inf,2026-02-12 10:49:24.571756,2026-02-12 10:49:24.810100,0 days 00:00:00.238344,16,0.18055287414238147,0.39871877107971393,3,0.001162441870854019,0.01853694178282186,"[256, 256]",5,18,1.1450777291131656e-06,COMPLETE
43,inf,2026-02-12 10:49:24.803591,2026-02-12 10:49:24.826677,0 days 00:00:00.023086,16,0.28788433138422054,0.4957039702950203,4,1.1405787933959064e-05,0.0007901808607603749,[128],10,12,2.365903709231018e-05,COMPLETE
44,inf,2026-02-12 10:49:25.242430,2026-02-12 10:49:25.481913,0 days 00:00:00.239483,64,0.1032368746183972,0.3822142371353421,2,0.0001251648775228881,0.033246083134821504,"[256, 256]",5,18,1.0187759997907463e-06,COMPLETE
45,inf,2026-02-12 10:49:25.485039,2026-02-12 10:49:25.740657,0 days 00:00:00.255618,16,0.16689425306500708,0.49205324102322073,5,2.1924231741395173e-05,0.015231287451441177,"[256, 256]",5,18,2.1474692403032306e-06,COMPLETE
46,inf,2026-02-12 10:49:25.489040,2026-02-12 10:49:25.738779,0 days 00:00:00.249739,16,0.12211290521211571,0.39447284155950746,5,0.0003966466621825729,0.03390581030843937,[256],5,18,1.0886035117406975e-06,COMPLETE
47,inf,2026-02-12 10:49:25.524933,2026-02-12 10:49:26.034696,0 days 00:00:00.509763,64,0.3934172968649099,0.45444830419031473,2,0.0003143713900100177,0.008921261225387783,[128],5,12,2.240822676195523e-06,COMPLETE
48,inf,2026-02-12 10:49:26.036865,2026-02-12 10:49:26.322411,0 days 00:00:00.285546,16,0.1395986226500959,0.37826541407975145,2,0.00041645803202280073,0.0409822258988542,[256],5,18,3.294154519844305e-05,COMPLETE
49,inf,2026-02-12 10:49:26.323212,2026-02-12 10:49:26.353589,0 days 00:00:00.030377,32,0.39429288301830245,0.44572477616530654,2,0.0010348834180855752,0.005377210170851552,"[256, 256, 256]",5,18,2.4188540554999016e-05,COMPLETE
50,inf,2026-02-12 10:49:26.805379,2026-02-12 10:49:27.051948,0 days 00:00:00.246569,64,0.3988775478202062,0.490988175163018,3,0.0018350883707212934,0.01706731207284789,"[64, 64, 64]",10,18,2.765286732618374e-06,COMPLETE
51,inf,2026-02-12 10:49:27.053962,2026-02-12 10:49:27.108046,0 days 00:00:00.054084,32,0.34019322760353654,0.3310678343513672,4,0.0011079429511254863,0.001992096855762501,[128],5,18,3.2248718421243773e-05,COMPLETE
52,inf,2026-02-12 10:49:27.055965,2026-02-12 10:49:27.105045,0 days 00:00:00.049080,64,0.3139481680660132,0.20837864086361588,4,0.0003174931814029183,0.00239741140814869,"[128, 128, 128]",5,18,3.8074033935754084e-05,COMPLETE
53,inf,2026-02-12 10:49:27.339919,2026-02-12 10:49:27.387387,0 days 00:00:00.047468,64,0.37173427501050155,0.2404337732286703,4,0.0047737077710551905,0.001360557687060615,"[256, 256, 256]",5,18,8.850109580597514e-05,COMPLETE
54,inf,2026-02-12 10:49:27.356520,2026-02-12 10:49:27.389389,0 days 00:00:00.032869,64,0.39572004216853324,0.2352499434863334,4,0.0053459566341046,0.0016913670546426884,"[256, 256, 256]",5,18,2.267866152676962e-05,COMPLETE
